iter	RMSE
0	11892.57861
1	11700.72205
2	11493.73164
3	11276.82004
4	11077.69171
5	10886.18787
6	10691.82681
7	10504.39701
8	10329.02632
9	10153.86992
10	9983.395801
11	9827.769851
12	9669.235222
13	9508.111558
14	9390.187761
15	9248.187978
16	9104.029988
17	8969.359989
18	8836.599557
19	8703.976198
20	8577.235503
21	8466.384509
22	8346.073482
23	8240.99366
24	8135.783001
25	8055.771868
26	7955.279549
27	7863.482582
28	7762.828162
29	7663.454134
30	7597.149281
31	7512.362634
32	7422.513379
33	7337.527293
34	7264.241957
35	7184.871422
36	7114.081496
37	7044.163735
38	6970.050874
39	6907.449783
40	6846.043559
41	6786.428189
42	6730.295252
43	6671.359073
44	6625.464283
45	6570.823516
46	6517.704678
47	6471.903526
48	6424.99162
49	6386.733456
50	6353.191395
51	6310.278264
52	6268.498601
53	6234.941218
54	6197.291395
55	6158.340618
56	6121.065152
57	6089.596271
58	6059.86061
59	6024.880297
60	5993.420786
61	5961.988729
62	5931.424078
63	5903.095129
64	5878.28863
65	5852.332338
66	5825.53965
67	5800.244225
68	5777.869886
69	5756.039096
70	5740.587493
71	5721.047059
72	5706.88704
73	5689.529281
74	5672.14464
75	5653.428299
76	5636.846794
77	5627.432026
78	5609.886537
79	5592.11402
80	5583.452282
81	5568.486404
82	5554.98779
83	5545.433188
84	5532.696528
85	5517.183551
86	5505.535668
87	5495.894984
88	5483.416381
89	5470.897652
90	5460.367572
91	5446.734468
92	5434.166099
93	5423.289228
94	5416.732719
95	5403.949217
96	5397.421843
97	5391.312537
98	5383.023553
99	5376.512029
100	5366.585361
101	5358.690261
102	5352.315811
103	5345.632214
104	5342.361827
105	5333.930594
106	5327.215264
107	5323.181429
108	5315.643715
109	5310.12986
110	5302.733575
111	5297.635071
112	5291.980836
113	5286.485667
114	5283.218834
115	5278.799457
116	5274.803846
117	5271.551597
118	5266.5799
119	5262.405275
120	5257.76064
121	5253.341651
122	5248.927979
123	5242.270835
124	5235.652167
125	5230.308825
126	5225.914872
127	5219.643049
128	5217.871578
129	5214.258582
130	5210.328319
131	5204.659523
132	5201.245788
133	5198.891658
134	5197.097738
135	5193.913811
136	5190.020067
137	5186.468272
138	5182.717887
139	5179.00961
140	5175.634372
141	5173.801467
142	5172.128735
143	5170.071948
144	5166.368937
145	5163.882682
146	5161.447274
147	5159.337715
148	5154.9846
149	5152.011043
150	5150.594917
151	5149.31277
152	5147.291482
153	5145.675398
154	5142.768279
155	5141.988061
156	5139.228916
157	5138.109125
158	5137.562702
159	5135.284866
160	5133.080867
161	5129.506526
162	5128.113409
163	5127.191451
164	5125.57583
165	5123.101681
166	5120.143103
167	5118.733579
168	5116.53612
169	5113.864049
170	5111.998798
171	5109.214
172	5107.280058
173	5105.372645
174	5102.408666
175	5100.609778
176	5097.593979
177	5094.683425
178	5091.687935
179	5089.14559
180	5087.830355
181	5084.660211
182	5083.241482
183	5082.763201
184	5080.793935
185	5079.413847
186	5076.356765
187	5075.179943
188	5073.66352
189	5072.458123
190	5071.441342
191	5069.665718
192	5068.927791
193	5068.40564
194	5066.509054
195	5065.564955
196	5064.390504
197	5062.470043
198	5060.711991
199	5059.299466
200	5058.263681
201	5055.658436
202	5054.57851
203	5053.434667
204	5052.827909
205	5051.628146
206	5047.917307
207	5046.265882
208	5045.309382
209	5044.61953
210	5043.778283
211	5040.967022
212	5040.194499
213	5039.690674
214	5037.435248
215	5034.988698
216	5034.227631
217	5032.635624
218	5031.704853
219	5029.072348
220	5026.950327
221	5025.762044
222	5024.843115
223	5022.253767
