iter	Passed	Remaining
0	53	20176
1	55	10404
2	57	7163
3	58	5415
4	59	4382
5	59	3692
6	61	3227
7	62	2870
8	62	2566
9	63	2328
10	64	2130
11	66	2008
12	66	1863
13	67	1739
14	68	1642
15	68	1548
16	69	1465
17	70	1396
18	70	1331
19	71	1272
20	72	1222
21	72	1172
22	73	1128
23	74	1091
24	75	1063
25	75	1022
26	76	989
27	77	966
28	78	944
29	79	916
30	79	887
31	80	863
32	82	855
33	83	835
34	83	814
35	84	801
36	85	783
37	86	766
38	86	748
39	87	732
40	88	722
41	88	707
42	89	696
43	91	689
44	91	675
45	92	664
46	93	654
47	94	642
48	94	631
49	95	620
50	96	615
51	97	608
52	98	598
53	98	589
54	99	579
55	99	571
56	100	562
57	101	554
58	101	545
59	102	538
60	103	533
61	103	526
62	104	518
63	105	514
64	106	507
65	106	500
66	107	494
67	107	488
68	108	481
69	108	475
70	109	469
71	109	463
72	110	457
73	110	451
74	110	445
75	111	439
76	111	434
77	112	429
78	112	424
79	113	418
80	113	413
81	114	409
82	114	404
83	115	400
84	115	395
85	116	391
86	116	387
87	117	383
88	117	380
89	118	375
90	118	371
91	119	367
92	119	364
93	120	360
94	120	356
95	121	353
96	121	349
97	122	346
98	122	343
99	123	340
100	123	337
101	124	334
102	125	331
103	125	328
104	125	324
105	126	321
106	126	318
107	126	314
108	127	312
109	127	308
110	128	306
111	129	304
112	130	303
113	131	301
114	131	298
115	131	295
116	132	292
117	132	289
118	132	286
119	133	284
120	134	282
121	134	280
122	135	278
123	135	275
124	136	273
125	136	271
126	137	269
127	137	266
128	138	264
129	138	262
130	138	259
131	139	257
132	139	255
133	140	253
134	140	251
135	141	248
136	141	246
137	142	245
138	142	243
139	143	241
140	144	240
141	144	238
142	144	236
143	145	234
144	146	233
145	147	231
146	147	230
147	148	228
148	148	226
149	148	224
150	149	222
151	150	221
152	151	220
153	151	218
154	151	216
155	152	214
156	152	213
157	153	211
158	153	209
159	154	208
160	154	206
161	155	204
162	155	203
163	156	201
164	156	200
165	156	198
166	157	196
167	157	195
168	158	193
169	158	192
170	159	190
171	159	189
172	160	188
173	161	187
174	162	186
175	162	184
176	163	183
177	163	182
178	164	180
179	164	179
180	165	178
181	165	176
182	166	175
183	166	173
184	167	172
185	167	171
186	168	170
187	168	168
188	169	167
189	170	166
190	170	165
191	171	164
192	172	163
193	172	161
194	173	160
195	174	160
196	174	158
197	175	157
198	176	156
199	176	155
200	177	154
201	177	153
202	178	151
203	178	150
204	179	149
205	179	148
206	180	147
207	180	145
208	180	144
209	181	143
210	181	142
211	181	140
212	182	139
213	182	138
214	183	137
215	183	136
216	184	135
217	184	133
218	185	132
219	186	131
220	186	130
221	186	129
222	187	128
223	188	127
224	188	126
225	189	125
226	189	124
227	190	123
228	190	122
229	191	121
230	192	120
231	193	119
232	193	118
233	194	117
234	194	116
235	194	115
236	195	114
237	196	113
238	196	112
239	197	111
240	197	110
241	198	109
242	198	108
243	199	107
244	199	106
245	200	105
246	200	104
247	201	103
248	201	102
249	202	101
250	202	100
251	203	99
252	203	99
253	204	98
254	204	97
255	205	96
256	205	95
257	206	94
258	207	93
259	208	92
260	209	92
261	209	91
262	210	90
263	210	89
264	211	88
265	212	87
266	212	86
267	213	85
268	213	85
269	214	84
270	214	83
271	215	82
272	216	81
273	216	80
274	217	79
275	217	78
276	218	78
277	218	77
278	219	76
279	219	75
280	220	74
281	220	73
282	221	72
283	221	71
284	222	71
285	222	70
286	223	69
287	223	68
288	224	67
289	224	66
290	225	65
291	226	65
292	226	64
293	227	63
294	227	62
295	228	61
296	228	60
297	229	60
298	230	59
299	230	58
300	231	57
301	231	56
302	232	56
303	233	55
304	233	54
305	233	53
306	234	52
307	234	51
308	235	51
309	235	50
310	236	49
311	236	48
312	237	47
313	238	46
314	238	46
315	239	45
316	239	44
317	240	43
318	240	43
319	241	42
320	242	41
321	242	40
322	243	39
323	243	39
324	244	38
325	244	37
326	245	36
327	245	35
328	245	35
329	246	34
330	247	33
331	247	32
332	248	32
333	249	31
334	249	30
335	250	29
336	250	29
337	251	28
338	251	27
339	252	26
340	252	25
341	253	25
342	253	24
343	254	23
344	254	22
345	255	22
346	255	21
347	256	20
348	256	19
349	257	19
350	257	18
351	259	17
352	259	16
353	260	16
354	260	15
355	261	14
356	261	13
357	261	13
358	262	12
359	263	11
360	264	10
361	264	10
362	265	9
363	265	8
364	266	8
365	266	7
366	267	6
367	268	5
368	269	5
369	269	4
370	270	3
371	270	2
372	271	2
373	271	1
374	272	0
375	272	0
